City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
632,Guanica,PR,79.25,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
633,Krasnoselkup,RU,73.49,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
638,Moerai,PF,73.58,few clouds,-22.4333,-151.3333,Le Manotel
639,Maceio,BR,71.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
641,Pundaguitan,PH,85.26,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
646,Nagato,JP,84.15,overcast clouds,34.3833,131.2,いそう庵
647,Bulgan,MN,74.16,clear sky,48.8125,103.5347,Unitel Булган салбар
648,Morro Bay,US,78.39,clear sky,35.3658,-120.8499,Inn at Morro Bay
649,Gambela,ET,71.51,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
653,Tura,IN,88.02,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
654,Singaparna,ID,86.16,scattered clouds,-7.3515,108.111,Wisma Dewi Hotel
655,Chastyye,RU,71.6,light rain,57.2888,54.9728,
656,Bemidji,US,71.89,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
660,Mandalgovi,MN,74.21,few clouds,45.7625,106.2708,В.Ганбат
661,Gat,IL,78.91,few clouds,31.61,34.7642,OlusHome
662,Touros,BR,72.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
664,Ho Chi Minh City,VN,80.62,broken clouds,10.75,106.6667,Windsor Plaza Hotel
667,Gold Coast,AU,70.77,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
669,Fort Smith,US,74.37,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
